22.003,-0.232,-18.781,0.000,-0.000,0.000
22.003,-0.232,-9.391,0.000,-0.000,0.000
22.003,-0.232,0.000,0.000,-0.000,0.000
22.003,-0.232,4.695,0.000,-0.000,0.000
22.003,-0.232,14.086,0.000,-0.000,0.000
22.003,-0.232,18.781,0.000,-0.000,0.000
18.781,-0.232,22.003,0.000,-0.000,-90.000
14.000,-0.000,22.000,0.000,-0.000,-90.000
9.391,-0.232,22.003,0.000,-0.000,-90.000
4.695,-0.232,22.003,0.000,-0.000,-90.000
-0.000,-0.232,22.003,0.000,-0.000,-90.000
-4.695,-0.232,22.003,0.000,-0.000,-90.000
-14.086,-0.232,22.003,0.000,-0.000,-90.000
-18.781,-0.232,22.003,0.000,-0.000,-90.000
-22.003,-0.232,18.781,0.000,-0.000,180.000
-22.003,-0.232,9.391,0.000,-0.000,180.000
-22.003,-0.232,4.695,0.000,-0.000,180.000
-22.003,-0.232,-0.000,0.000,-0.000,180.000
-22.003,-0.232,-4.695,0.000,-0.000,180.000
-22.003,-0.232,-9.437,0.000,-0.000,180.000
-22.003,-0.232,-14.086,0.000,-0.000,180.000
-22.003,-0.232,-18.781,0.000,-0.000,180.000
-18.781,-0.232,-22.003,0.000,-0.000,90.000
-14.086,-0.232,-22.003,0.000,-0.000,90.000
-4.695,-0.232,-22.003,0.000,-0.000,90.000
0.000,-0.232,-22.003,0.000,-0.000,90.000
9.437,-0.232,-22.003,0.000,-0.000,90.000
18.781,-0.232,-22.003,0.000,-0.000,90.000
